"GEOID","NAME","reald","ESTIMATE","MOE"
"1400000US41051000101","1.01","Other",727,103.932565857026
"1400000US41051000101","1.01","Other.african",0,13.16
"1400000US41051000101","1.01","Other.anza",0,13.16
"1400000US41051000101","1.01","Other.arab",0,13.16
"1400000US41051000101","1.01","Other.european",171,24.5968759080803
"1400000US41051000101","1.01","Other.northam",42,8.30521385937774
"1400000US41051000101","1.01","ReAfrican",0,13.16
"1400000US41051000101","1.01","ReCaribbean",0,13.16
"1400000US41051000101","1.01","ReEastEur",26,7.1967574990408
"1400000US41051000101","1.01","ReEthiopian",0,13.16
"1400000US41051000101","1.01","ReHisSou",0,13.16
"1400000US41051000101","1.01","ReMidEast",0,13.16
"1400000US41051000101","1.01","ReNoAfr",0,13.16
"1400000US41051000101","1.01","ReSlavic",507,62.4665330782212
"1400000US41051000101","1.01","ReSomalian",0,13.16
"1400000US41051000101","1.01","ReWestEur",3060,166.066070112922
"1400000US41051000101","1.01","Unclassified.unknown",458,42.9940190898688
"1400000US41051000102","1.02","Other",678,43.9027047800019
"1400000US41051000102","1.02","Other.african",6,2.59054859054989
"1400000US41051000102","1.02","Other.anza",0,13.16
"1400000US41051000102","1.02","Other.arab",0,13.16
"1400000US41051000102","1.02","Other.european",180,25.7133548642529
"1400000US41051000102","1.02","Other.northam",269,48.6021645942853
"1400000US41051000102","1.02","ReAfrican",0,13.16
"1400000US41051000102","1.02","ReCaribbean",0,13.16
"1400000US41051000102","1.02","ReEastEur",12,4.84437837214436
"1400000US41051000102","1.02","ReEthiopian",0,13.16
"1400000US41051000102","1.02","ReHisSou",0,13.16
"1400000US41051000102","1.02","ReMidEast",10,3.49925179502705
"1400000US41051000102","1.02","ReNoAfr",0,13.16
"1400000US41051000102","1.02","ReSlavic",500,49.8266671246432
"1400000US41051000102","1.02","ReSomalian",0,13.16
"1400000US41051000102","1.02","ReWestEur",3252,123.577224100459
"1400000US41051000102","1.02","Unclassified.unknown",433,46.8514656054109
"1400000US41051000201","2.01","Other",933,61.7776897360609
"1400000US41051000201","2.01","Other.african",0,13.16
"1400000US41051000201","2.01","Other.anza",0,13.16
"1400000US41051000201","2.01","Other.arab",33,11.6626903682212
"1400000US41051000201","2.01","Other.european",265,36.1333152661778
"1400000US41051000201","2.01","Other.northam",113,17.2544739270718
"1400000US41051000201","2.01","ReAfrican",48,17.0211799422073
"1400000US41051000201","2.01","ReCaribbean",29,7.64880778291624
"1400000US41051000201","2.01","ReEastEur",225,32.9294939672249
"1400000US41051000201","2.01","ReEthiopian",0,13.16
"1400000US41051000201","2.01","ReHisSou",0,13.16
"1400000US41051000201","2.01","ReMidEast",23,8.8440744357451
"1400000US41051000201","2.01","ReNoAfr",0,13.16
"1400000US41051000201","2.01","ReSlavic",426,47.0886817106829
"1400000US41051000201","2.01","ReSomalian",0,13.16
"1400000US41051000201","2.01","ReWestEur",2863,202.968253505782
"1400000US41051000201","2.01","Unclassified.unknown",393,34.838288319032
"1400000US41051000202","2.02","Other",797,62.3849848581371
