"CBSERIAL","PERNUM","PUMA"
2021000340672,3,5105
2019000371885,2,5114
2021000218060,1,5116
2021000085260,2,5101
2020000745307,2,5101
2022001236588,1,5102
2023000066321,1,5105
2020001067417,1,5101
2023001198594,4,5114
2019000095640,1,5116
2022000909973,1,5105
2021000154329,4,5105
2021000154329,5,5114
2023000101853,6,5101
2023000101853,6,5102
2023001295505,1,5105
2023000101853,6,5114
2021000389487,1,5101
2021000389487,1,5102
2021000704798,1,5103
2021000356995,5,5105
2021000356995,6,5114
2021001353814,6,5101
2021001353814,6,5103
2021000356995,1,5105
2021000356995,1,5114
2022000976379,1,5103
2022000943893,1,5105
2022000450712,5,5101
2020000646773,3,5103
2023000403969,4,5105
2020000646773,6,5114
2023000825967,1,5105
2023000992483,1,5101
2023000970612,1,5103
2022000916724,1,5105
2023000767933,1,5103
2021001219502,1,5105
2022000450712,1,5114
2022000450712,2,5101
2022000450712,2,5103
2022000450712,2,5105
2022000450712,2,5114
2022000450712,2,5116
2020000602990,1,5101
2020001037427,1,5103
2021000016272,1,5105
2020001037427,1,5116
2021000830138,4,5105
2023000605251,4,5114
2022000366431,1,5101
2019000046666,1,5103
2022000366431,1,5105
2019000815856,3,5114
2021001240575,1,5102
2019000815856,1,5103
2019000815856,1,5105
2019000815856,1,5114
2019000815856,1,5116
2022000916724,1,5101
2022010107923,1,5101
2022000322977,2,5103
2023010043034,1,5105
2019001346008,4,5103
