"CBSERIAL","PERNUM","PUMA","reald","age","ancestry"
2019010122988,1,5114,"AmInd","[0,18)",NA
2021000834243,3,5101,"AmInd","[85,Inf)",NA
2021000681127,1,5103,"AmInd","[85,Inf)",NA
2020001037427,1,5105,"AmInd","[85,Inf)",NA
2020001037427,1,5116,"AmInd","[85,Inf)",NA
2020000837988,1,5114,"Black","[85,Inf)",NA
2021000580339,4,5101,"HispLat","[0,18)",NA
2021000830138,4,5105,"HispLat","[85,Inf)",NA
2019000701330,2,5103,"MENA","[0,18)",NA
2022000493653,3,5105,"MENA","[0,18)",NA
2019000701330,2,5114,"MENA","[0,18)",NA
2019000701330,2,5116,"MENA","[0,18)",NA
2021000133067,4,5101,"MENA","[55,60)",NA
2023000101853,6,5105,"MENA","[55,60)",NA
2021000133067,4,5114,"MENA","[55,60)",NA
2021000389487,1,5103,"MENA","[60,85)",NA
2022000366431,1,5101,"MENA","[85,Inf)",NA
2021001411550,4,5101,"NHPI","[0,18)",NA
2023000412894,4,5103,"NHPI","[0,18)",NA
2022001439005,3,5105,"NHPI","[0,18)",NA
2019000533610,2,5102,"NHPI","[55,60)",NA
2019000533610,2,5103,"NHPI","[55,60)",NA
2019000533610,2,5105,"NHPI","[55,60)",NA
2021000356995,1,5114,"NHPI","[55,60)",NA
2021000911143,1,5102,"NHPI","[60,85)",NA
2021000252492,2,5103,"NHPI","[60,85)",NA
2019000815856,1,5102,"NHPI","[85,Inf)",NA
2019000815856,1,5103,"NHPI","[85,Inf)",NA
2019000815856,1,5105,"NHPI","[85,Inf)",NA
2019000815856,1,5114,"NHPI","[85,Inf)",NA
2019000815856,1,5116,"NHPI","[85,Inf)",NA
2023001082311,1,5101,"Other","[18,55)",NA
2021000463883,3,5103,"Other","[18,55)",NA
2023001082311,1,5105,"Other","[18,55)",NA
2021000463883,3,5114,"Other","[18,55)",NA
2023000767933,1,5102,"Other","[60,85)",NA
2021000463883,1,5103,"Other","[60,85)",NA
2023000767933,1,5105,"Other","[60,85)",NA
2020000369779,1,5114,"Other","[60,85)",NA
NA,NA,5101,NA,NA,"Other.arab"
NA,NA,5103,NA,NA,"Other.arab"
NA,NA,5105,NA,NA,"ReSomalian"
