"CBSERIAL","PERNUM","PUMA","reald","age","ancestry"
2021010005021,1,5101,"AmInd","[0,18)",NA
2021010005021,1,5114,"AmInd","[0,18)",NA
2020000602990,1,5101,"AmInd","[85,Inf)",NA
2021000016272,1,5103,"AmInd","[85,Inf)",NA
2021000016272,1,5105,"AmInd","[85,Inf)",NA
2020000602990,1,5114,"AmInd","[85,Inf)",NA
2020000602990,1,5116,"AmInd","[85,Inf)",NA
2020010181057,1,5101,"Asian","[0,18)",NA
2020010181057,1,5102,"Asian","[0,18)",NA
2020010181057,1,5105,"Asian","[0,18)",NA
2023010140646,1,5116,"Asian","[0,18)",NA
2020010098738,1,5116,"Black","[0,18)",NA
2022001258009,1,5114,"Black","[85,Inf)",NA
2021010110835,1,5101,"HispLat","[85,Inf)",NA
2021010110835,1,5102,"HispLat","[85,Inf)",NA
2021010026104,1,5103,"HispLat","[85,Inf)",NA
2021010110835,1,5105,"HispLat","[85,Inf)",NA
2021000995624,1,5102,"MENA","[55,60)",NA
2021000995624,1,5105,"MENA","[55,60)",NA
2023001295505,1,5116,"MENA","[55,60)",NA
2023010068018,1,5101,"MENA","[85,Inf)",NA
2023010068018,1,5102,"MENA","[85,Inf)",NA
2022001125794,1,5101,"NHPI","[55,60)",NA
2022001125794,1,5103,"NHPI","[55,60)",NA
2022001125794,1,5105,"NHPI","[55,60)",NA
2022001125794,1,5114,"NHPI","[55,60)",NA
2022001125794,1,5116,"NHPI","[55,60)",NA
2022001072307,1,5101,"Other","[55,60)",NA
2023000992483,1,5103,"Other","[55,60)",NA
2023000062888,1,5105,"Other","[55,60)",NA
2022010022113,1,5103,"Other","[60,85)",NA
2022000683104,1,5105,"Other","[60,85)",NA
2023000767933,1,5114,"Other","[60,85)",NA
2021000418506,1,5102,"AmInd","[55,60)",NA
2021000016272,1,5101,"AmInd","[85,Inf)",NA
2020000602990,1,5103,"AmInd","[85,Inf)",NA
2020000602990,1,5105,"AmInd","[85,Inf)",NA
2021000834243,3,5116,"AmInd","[85,Inf)",NA
2023001198594,3,5101,"Black","[0,18)",NA
2023001198594,3,5102,"Black","[0,18)",NA
2023001198594,3,5103,"Black","[0,18)",NA
2023001198594,3,5114,"Black","[0,18)",NA
2023001198594,3,5116,"Black","[0,18)",NA
2021000599930,1,5114,"Black","[85,Inf)",NA
2023000605251,4,5101,"HispLat","[85,Inf)",NA
2020000035556,2,5105,"MENA","[18,55)",NA
2023001295505,1,5105,"MENA","[55,60)",NA
2021000133067,4,5114,"MENA","[55,60)",NA
2022000450712,3,5101,"MENA","[60,85)",NA
2021001118133,1,5101,"MENA","[85,Inf)",NA
2023010128417,1,5116,"MENA","[85,Inf)",NA
2023000357682,1,5103,"NHPI","[55,60)",NA
2023000357682,1,5105,"NHPI","[55,60)",NA
2020000881460,1,5114,"NHPI","[55,60)",NA
2021001353814,5,5114,"NHPI","[60,85)",NA
2019000815856,1,5102,"NHPI","[85,Inf)",NA
2019000815856,1,5103,"NHPI","[85,Inf)",NA
2019000815856,1,5105,"NHPI","[85,Inf)",NA
2019000815856,1,5114,"NHPI","[85,Inf)",NA
2019000815856,1,5116,"NHPI","[85,Inf)",NA
2023000292690,1,5102,"Other","[18,55)",NA
2022000433891,1,5105,"Other","[18,55)",NA
2023000292690,1,5116,"Other","[18,55)",NA
2023000062888,1,5101,"Other","[55,60)",NA
