"CBSERIAL","PERNUM","PUMA"
2023000244397,3,5114
2020001037427,1,5101
2021000681127,1,5103
2021000016272,1,5105
2021000681127,1,5116
2022010149350,1,5105
2021001215983,1,5114
2021000386506,1,5105
2021010026104,1,5105
2019000701330,2,5103
2022000493653,3,5105
2022000493653,3,5114
2022000493653,3,5116
2023001295505,1,5101
2023001295505,1,5105
2023000101853,6,5114
2023010094744,1,5102
2023000842404,3,5103
2019000046666,1,5101
2019000046666,1,5103
2019000046666,1,5105
2019000046666,1,5114
2023000412894,4,5101
2022000469893,6,5103
2022001439005,4,5105
2019000533610,2,5102
2019000533610,2,5103
2019000533610,2,5105
2021000356995,1,5114
2021000252492,2,5102
2022000943893,1,5103
2019000815856,1,5102
2019000815856,1,5103
2019000815856,1,5105
2019000815856,1,5114
2019000815856,1,5116
2023000110438,2,5101
2021000463883,3,5105
2022000365017,1,5103
2022000683104,1,5105
2021000771927,1,5114
2022010107923,1,5101
2022000322977,2,5103
2023010043034,1,5105
2019001346008,4,5103
