lanp16,lanp16_label,langfnl,lf_label,langc39,lc39label,langc42,lc42label,langc12,lc12label,langc5,lc5label,langoha,langohastr,langoilabel,,,
1000,Jamaican Creole English,1,English Creole,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,28,und,Other and unspecified languages,,,
1025,Other English-based Creole languages,1,English Creole,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,28,und,Other and unspecified languages,,,
1110,German,2,German,ger,German,ger,German,ger,German or other West Germanic languages,oie,Other Indo-European languages,9,ger,German,,,
1120,Swiss German,2,German,ger,German,ger,German,ger,German or other West Germanic languages,oie,Other Indo-European languages,9,ger,German,,,
1125,Pennsylvania German,2,German,ger,German,ger,German,ger,German or other West Germanic languages,oie,Other Indo-European languages,43,yid,"Yiddish, Pennsylvania Dutch or other West Germanic languages",,,
1130,Yiddish,3,Yiddish,yid,Yiddish,ywg,"Yiddish, Pennsylvania Dutch or other West Germanic languages",ger,German or other West Germanic languages,oie,Other Indo-European languages,43,yid,"Yiddish, Pennsylvania Dutch or other West Germanic languages",,,
1132,Dutch,4,Dutch/Afrikaans,owg,Other West Germanic languages,ywg,"Yiddish, Pennsylvania Dutch or other West Germanic languages",ger,German or other West Germanic languages,oie,Other Indo-European languages,43,yid,"Yiddish, Pennsylvania Dutch or other West Germanic languages",,,
1134,Afrikaans,4,Dutch/Afrikaans,owg,Other West Germanic languages,ywg,"Yiddish, Pennsylvania Dutch or other West Germanic languages",ger,German or other West Germanic languages,oie,Other Indo-European languages,43,yid,"Yiddish, Pennsylvania Dutch or other West Germanic languages",,,
1140,Swedish,5,Swedish,sca,Scandinavian languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,23,qie,Other Indo-European languages,,,
1141,Danish,6,Danish,sca,Scandinavian languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,23,qie,Other Indo-European languages,,,
1142,Norwegian,7,Norwegian,sca,Scandinavian languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,23,qie,Other Indo-European languages,,,
1155,Italian,8,Italian,ita,Italian,ita,Italian,oie,Other Indo-European languages,oie,Other Indo-European languages,16,ita,Italian,,,
1170,French,9,French,fre,"French (incl. Patois, Cajun)",fre,French (incl. Cajun),fre,"French, Haitian, or Cajun",oie,Other Indo-European languages,8,fre,French (incl. Cajun),,,
1175,Cajun French,9,French,fre,"French (incl. Patois, Cajun)",fre,French (incl. Cajun),fre,"French, Haitian, or Cajun",oie,Other Indo-European languages,8,fre,French (incl. Cajun),,,
1055,Haitian,10,Haitian,hai,French Creole,hai,Haitian,fre,"French, Haitian, or Cajun",oie,Other Indo-European languages,12,hat,Haitian,,,
1200,Spanish,11,Spanish,spa,Spanish or Spanish Creole,spa,Spanish,spa,Spanish,spa,Spanish,35,spa,Spanish,,,
1210,Portuguese,12,Portuguese,por,Portuguese or Portuguese Creole,por,Portuguese,oie,Other Indo-European languages,oie,Other Indo-European languages,32,por,Portuguese,,,
1069,Kabuverdianu,12,Portuguese,por,Portuguese or Portuguese Creole,por,Portuguese,oie,Other Indo-European languages,oie,Other Indo-European languages,32,por,Portuguese,,,
1220,Romanian,13,Romanian,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,23,qie,Other Indo-European languages,,,
1231,Irish,14,Irish,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,23,qie,Other Indo-European languages,,,
1235,Greek,15,Greek,grk,Greek,grk,Greek,oie,Other Indo-European languages,oie,Other Indo-European languages,10,gre ,Greek,,,
1242,Albanian,16,Albanian,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,23,qie,Other Indo-European languages,,,
1250,Russian,17,Russian,rus,Russian,rus,Russian,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages,33,rus,Russian,,,
1260,Ukrainian,18,Ukrainian,osl,Other Slavic languages,osl,Ukrainian or other Slavic languages,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages,40,ukr ,Ukrainian,lab def langiso ,,
1262,Czech,19,Czech/Slovak,osl,Other Slavic languages,osl,Ukrainian or other Slavic languages,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages,27,qsl,Other Slavic languages,,,
1263,Slovak,19,Czech/Slovak,osl,Other Slavic languages,osl,Ukrainian or other Slavic languages,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages,27,qsl,Other Slavic languages,,,
1270,Polish,20,Polish,pol,Polish,pol,Polish,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages,31,pol,Polish,,,
1273,Bulgarian,21,Bulgarian,osl,Other Slavic languages,osl,Ukrainian or other Slavic languages,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages,27,qsl,Other Slavic languages,,,
1274,Macedonian,21,Bulgarian,osl,Other Slavic languages,osl,Ukrainian or other Slavic languages,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages,27,qsl,Other Slavic languages,,,
1275,Serbocroatian,22,Serbian/Croatian/Bosnian,sco,Serbo-Croatian,sco,Serbo-Croatian,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages,34,hbs,Serbo-Croatian,,,
1276,Bosnian,22,Serbian/Croatian/Bosnian,sco,Serbo-Croatian,sco,Serbo-Croatian,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages,34,hbs,Serbo-Croatian,,,
1277,Croatian,22,Serbian/Croatian/Bosnian,sco,Serbo-Croatian,sco,Serbo-Croatian,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages,34,hbs,Serbo-Croatian,,,
1278,Serbian,22,Serbian/Croatian/Bosnian,sco,Serbo-Croatian,sco,Serbo-Croatian,sla,"Russian, Polish, or other Slavic languages",oie,Other Indo-European languages,34,hbs,Serbo-Croatian,,,
