"RE","n.re.id","estimate"
"AfrAm",98677,118404
"AfrCarib",1870,1870
"AfrEthiopian",4319,4352
"AfrHaitian",1267,1267
"AfrJamaican",2762,2912
"AfrNigerian",2599,2599
"AfrOther",8289,10217
"AfrSomali",3128,3128
"AIANAlask",1596,1596
"AIANCan",1994,2001
"AIANInd",109783,132197
"AIANLat",9987,10002
"AsnAfghan",1704,1704
"AsnCambod",3574,3593
"AsnChinese",46531,63393
"AsnFilipino",39291,47138
"AsnHmong",3597,3732
"AsnInd",34150,36874
"AsnIndones",2392,2447
"AsnJapanese",30629,34801
"AsnKorean",22559,23915
"AsnLao",5402,5512
"AsnMyan",2779,2818
"AsnOther",14708,18905
"AsnPakistani",1681,1707
"AsnSouth",3952,9930
"AsnTaiwanese",6996,7051
"AsnThai",5452,6442
"AsnViet",34708,36832
"JAshkenazi",34765,35606
"JOther",31920,32249
"JSephardic",2185,2264
"LatAfr",4913,6533
"LatCen",10853,11809
"LatCub",9068,10068
"LatDom",2059,2171
"LatGuat",13622,15492
"LatMex",424983,491221
"LatOther",39759,42595
"LatPR",14420,17608
"LatSalv",10812,11140
"LatSou",23006,25782
"MENAEgypt",2209,2236
"MENAIran",6753,6976
"MENAIraq",2124,2179
"MENAIsr",2009,2029
"MENALeban",5065,5232
"MENAOther",7444,8568
"MENAPalest",1100,1100
"MENASyr",2192,2556
"MENATurkish",2197,2244
"NHPICham",3069,3166
"NHPICOFA",2699,2699
"NHPIFijian",2027,2027
"NHPIHawaii",12054,12521
"NHPIMarshall",1619,1619
"NHPIOther",12932,46915
"NHPISamoan",2943,2946
"NHPITongan",629,629
"OtherUnspec",17965,17965
"WhtEng",391021,609269
"WhtGer",336365,706561
"WhtIre",416519,509026
"WhtItal",129368,151814
"WhtOther",1443480,1933485
"WhtPol",59751,67643
"WhtRom",2896,70676
"WhtRus",34640,38307
"WhtSco",147090,167772
"WhtSlav",38697,42078
"WhtUkr",23116,23520
