"re","n.primary","n.aoic"
"AfrAm",108436,118404
"AfrCarib",1860,1870
"AfrEthiopian",4319,4352
"AfrHaitian",1242,1267
"AfrJamaican",2752,2912
"AfrNigerian",2583,2599
"AfrOther",9906,10217
"AfrSomali",3128,3128
"AIANAlask",1544,1596
"AIANCan",1964,2001
"AIANInd",121098,132197
"AIANLat",9932,10002
"AsnAfghan",1628,1704
"AsnCambod",3574,3593
"AsnChinese",47603,63327
"AsnFilipino",39005,47138
"AsnHmong",3337,3732
"AsnInd",31791,35319
"AsnIndones",2183,2447
"AsnJapanese",30919,34801
"AsnKorean",23276,23915
"AsnLao",5274,5512
"AsnMyan",2763,2818
"AsnOther",9217,18306
"AsnPakistani",1599,1707
"AsnSouth",7086,8394
"AsnTaiwanese",6879,7051
"AsnThai",5411,6442
"AsnViet",35457,36832
"JAshkenazi",35163,35606
"JOther",32107,32249
"JSephardic",2108,2264
"LatCen",10334,11809
"LatCub",7886,10068
"LatDom",989,2171
"LatGuat",13300,15492
"LatMex",434170,491221
"LatOther",36783,42595
"LatPR",11958,17608
"LatSalv",10120,11140
"LatSou",21816,25782
"MENAEgypt",2209,2236
"MENAIran",6823,6976
"MENAIraq",2124,2179
"MENAIsr",2009,2029
"MENALeban",5090,5232
"MENAOther",7514,8568
"MENAPalest",1100,1100
"MENASyr",2192,2556
"MENATurkish",2197,2244
"NHPICham",3408,3737
"NHPICOFA",3466,3787
"NHPIFijian",2027,2027
"NHPIHawaii",12203,12521
"NHPIMarshall",2231,2231
"NHPIOther",10472,10549
"NHPISamoan",2943,2946
"NHPITongan",629,629
"WhtEng",390656,609269
"WhtGer",335955,706561
"WhtIre",416240,509026
"WhtItal",124746,151814
"WhtOther",1439246,1928946
"WhtPol",57467,67643
"WhtRom",9109,9641
"WhtRus",33007,38307
"WhtSco",144357,167772
"WhtSlav",36875,42078
"WhtUkr",21954,23520
