"re","n.primary","n.aoic"
"AfrAm",106000,116794
"AfrCarib",4317,4539
"AfrEthiopian",5463,5647
"AfrHaitian",1139,1311
"AfrJamaican",2817,2912
"AfrNigerian",2469,2599
"AfrOther",8677,9162
"AfrSomali",3039,3128
"AIANAlask",1577,1584
"AIANCan",1431,1456
"AIANInd",121894,132223
"AIANLat",16527,17721
"AsnAfghan",1880,2154
"AsnCambod",3637,3751
"AsnChinese",45198,63503
"AsnFilipino",38298,47191
"AsnHmong",4878,5417
"AsnInd",31954,35642
"AsnIndones",2021,2453
"AsnJapanese",30462,34841
"AsnKorean",22478,24117
"AsnLao",3584,5914
"AsnMyan",2802,2818
"AsnOther",8464,17981
"AsnPakistani",1572,1707
"AsnSouth",6907,8394
"AsnTaiwanese",6709,7079
"AsnThai",5169,6480
"AsnViet",33635,36878
"JAshkenazi",46330,52881
"JOther",9607,11245
"JSephardic",5822,5835
"LatAfr",0,13192
"LatCen",9985,11801
"LatCub",7410,9831
"LatDom",935,2086
"LatGuat",11667,15486
"LatMex",410803,484683
"LatOther",34940,40927
"LatPR",11405,17257
"LatSalv",9363,11162
"LatSou",19001,23245
"MENAEgypt",2566,2579
"MENAIran",6729,6976
"MENAIraq",3349,3414
"MENAIsr",2009,2029
"MENALeban",5090,5232
"MENAOther",5417,8568
"MENAPalest",1215,1215
"MENASyr",2663,2733
"MENATurkish",2523,2560
"NHPICham",3723,3955
"NHPICOFA",2870,2870
"NHPIFijian",2027,2027
"NHPIHawaii",12263,12568
"NHPIMarshall",2231,2231
"NHPIOther",10960,11037
"NHPISamoan",2957,2960
"NHPITongan",629,629
"OtherUnspec",17086,17153
"WhtEng",395311,608083
"WhtGer",342074,706561
"WhtIre",423527,507606
"WhtItal",126719,151814
"WhtOther",1463732,1929007
"WhtPol",58770,68142
"WhtRom",8131,10057
"WhtRus",30157,38334
"WhtSco",147340,167813
"WhtSlav",37280,42097
"WhtUkr",17100,23520
